loggers.Event{id=-1608773753, msg='Some event for user 3 - You are nothing know!', date=Tue May 17 17:20:52 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=-1828532666, msg='Some event for user 6 - You are nothing know!', date=Tue May 17 17:35:30 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=-231442527, msg='Some event for user John Snow - You are nothing know!', date=Tue May 17 17:35:29 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=-1509205348, msg='Some event for user 4 - You are nothing know!', date=Tue May 17 17:35:30 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=393317558, msg='Some event for user 3 - You are nothing know!', date=Tue May 17 17:38:20 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=-752791900, msg='Some event for user 6 - You are nothing know!', date=Tue May 17 17:38:20 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=1242023263, msg='Some event for user John Snow - You are nothing know!', date=Tue May 17 17:38:20 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=-1377873178, msg='Some event for user 4 - You are nothing know!', date=Tue May 17 17:38:20 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=-1046863947, msg='Some event for user 3 - Hi there!', date=Tue May 17 18:06:01 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=1022496578, msg='Some event for user 6 - Hi there!', date=Tue May 17 18:06:01 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=-1449372440, msg='Some event for user John Snow - Hi there!', date=Tue May 17 18:06:01 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=-437710966, msg='Some event for user 4 - Hi there!', date=Tue May 17 18:06:01 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=-2092470862, msg='Some event for user 3 - Hi there!', date=Tue May 17 18:09:32 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=-1233951669, msg='Some event for user 6 - Hi there!', date=Tue May 17 18:09:32 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=1687997661, msg='Some event for user John - Hi there!', date=Tue May 17 18:09:32 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=-209478925, msg='Some event for user 4 - Hi there!', date=Tue May 17 18:09:32 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=473637883, msg='Some event for user 3 - Hi there!', date=Tue May 17 18:11:28 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=-740882331, msg='Some event for user 6 - Hi there!', date=Tue May 17 18:11:29 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=1818120582, msg='Some event for user John - Hi there!', date=Tue May 17 18:11:28 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=-1475865557, msg='Some event for user 4 - Hi there!', date=Tue May 17 18:11:29 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=142312427, msg='Some event for user 3 - Hi there!', date=Tue May 17 18:15:08 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=-436328633, msg='Some event for user 6 - Hi there!', date=Tue May 17 18:15:09 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=1777802157, msg='Some event for user John - Hi there!', date=Tue May 17 18:15:08 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=1811489621, msg='Some event for user 4 - Hi there!', date=Tue May 17 18:15:08 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=131797204, msg='Some event for user 3 - Hi there!', date=Tue May 17 18:15:23 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=424076053, msg='Some event for user 6 - Hi there!', date=Tue May 17 18:15:23 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=-2053881072, msg='Some event for user John Snow - Hi there!', date=Tue May 17 18:15:23 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=-677073612, msg='Some event for user 4 - Hi there!', date=Tue May 17 18:15:23 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=1453102274, msg='Some event for user 3 - You are nothing know!', date=Tue May 17 18:15:48 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=474942280, msg='Some event for user 6 - You are nothing know!', date=Tue May 17 18:15:49 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=965205744, msg='Some event for user John Snow - You are nothing know!', date=Tue May 17 18:15:48 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=1727777244, msg='Some event for user 4 - You are nothing know!', date=Tue May 17 18:15:49 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=337713314, msg='Some event for user 3 - You are nothing know!', date=Tue May 17 18:42:14 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=-559722748, msg='Some event for user 6 - You are nothing know!', date=Tue May 17 18:42:14 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=1634098208, msg='Some event for user John Snow - You are nothing know!', date=Tue May 17 18:42:14 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=2062675677, msg='Some event for user 4 - You are nothing know!', date=Tue May 17 18:42:14 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=-1023799099, msg='Some event for user 3 - You are nothing know!', date=Tue May 17 19:05:11 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=-1223958943, msg='Some event for user 6 - You are nothing know!', date=Tue May 17 19:05:12 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=970780215, msg='Some event for user John Snow - You are nothing know!', date=Tue May 17 19:05:11 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=-1860318395, msg='Some event for user 4 - You are nothing know!', date=Tue May 17 19:05:12 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=-996663145, msg='Some event for user 3 - You are nothing know!', date=Tue May 17 19:06:18 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=443797603, msg='Some event for user 6 - You are nothing know!', date=Tue May 17 19:06:18 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=-1368581938, msg='Some event for user John Snow - You are nothing know!', date=Tue May 17 19:06:18 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=-132711094, msg='Some event for user 4 - You are nothing know!', date=Tue May 17 19:06:18 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=586605583, msg='Some event for user 3 - You are nothing know!', date=Tue May 17 19:15:44 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=156639189, msg='Some event for user 6 - You are nothing know!', date=Tue May 17 19:15:44 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=1197797609, msg='Some event for user John Snow - You are nothing know!', date=Tue May 17 19:15:44 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=-460303839, msg='Some event for user 4 - You are nothing know!', date=Tue May 17 19:15:44 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=-1827708325, msg='Some event for user 3 - You are nothing know!', date=Tue May 17 19:22:01 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=1091544948, msg='Some event for user 6 - You are nothing know!', date=Tue May 17 19:22:01 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=-13571409, msg='Some event for user John Snow - You are nothing know!', date=Tue May 17 19:22:01 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=990757949, msg='Some event for user 4 - You are nothing know!', date=Tue May 17 19:22:01 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=131267568, msg='Some event for user 3 - You are nothing know!', date=Tue May 17 19:22:12 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=1202419402, msg='Some event for user 6 - You are nothing know!', date=Tue May 17 19:22:13 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=-433852817, msg='Some event for user John Snow - You are nothing know!', date=Tue May 17 19:22:12 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=237985990, msg='Some event for user 4 - You are nothing know!', date=Tue May 17 19:22:12 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=1903447784, msg='Some event for user 3 - You are nothing know!', date=Tue May 17 19:30:16 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=2100572077, msg='Some event for user 6 - You are nothing know!', date=Tue May 17 19:30:17 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=1872590184, msg='Some event for user John Snow - You are nothing know!', date=Tue May 17 19:30:16 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=-1431480230, msg='Some event for user 4 - You are nothing know!', date=Tue May 17 19:30:16 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=1276415227, msg='Some event for user 3 - You are nothing know!', date=Tue May 17 19:35:29 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=1697855060, msg='Some event for user 6 - You are nothing know!', date=Tue May 17 19:35:30 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=-1814860279, msg='Some event for user John Snow - You are nothing know!', date=Tue May 17 19:35:29 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=-1815524764, msg='Some event for user 4 - You are nothing know!', date=Tue May 17 19:35:30 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=-1390173174, msg='Some event for user 3 - You are nothing know!', date=Tue May 17 19:39:38 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=197969738, msg='Some event for user 6 - You are nothing know!', date=Tue May 17 19:39:38 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=-1711249110, msg='Some event for user John Snow - You are nothing know!', date=Tue May 17 19:39:38 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=673851427, msg='Some event for user 4 - You are nothing know!', date=Tue May 17 19:39:38 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=1743214700, msg='Some event for user 3 - You are nothing know!', date=Tue May 17 19:40:02 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=-885412968, msg='Some event for user 6 - You are nothing know!', date=Tue May 17 19:40:03 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=-1315813922, msg='Some event for user John Snow - You are nothing know!', date=Tue May 17 19:40:02 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=-395269673, msg='Some event for user 4 - You are nothing know!', date=Tue May 17 19:40:03 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=1011291342, msg='Some event for user 3 - You are nothing know!', date=Tue May 17 19:40:20 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=86969123, msg='Some event for user 6 - You are nothing know!', date=Tue May 17 19:40:20 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=-1712694909, msg='Some event for user John Snow - You are nothing know!', date=Tue May 17 19:40:19 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=904685627, msg='Some event for user 4 - You are nothing know!', date=Tue May 17 19:40:20 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=1818627005, msg='Some event for user 3 - You are nothing know!', date=Tue May 17 19:41:53 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=-201345297, msg='Some event for user 6 - You are nothing know!', date=Tue May 17 19:41:53 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=1849357707, msg='Some event for user John Snow - You are nothing know!', date=Tue May 17 19:41:53 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=-124848027, msg='Some event for user 4 - You are nothing know!', date=Tue May 17 19:41:53 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=640404213, msg='Some event for user 3 - You are nothing know!', date=Tue May 17 19:42:08 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=-1256059013, msg='Some event for user 6 - You are nothing know!', date=Tue May 17 19:42:09 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=-614018094, msg='Some event for user John Snow - You are nothing know!', date=Tue May 17 19:42:08 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=-1919765450, msg='Some event for user 4 - You are nothing know!', date=Tue May 17 19:42:09 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=-321853881, msg='Some event for user 3 - You are nothing know!', date=Tue May 17 19:42:48 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=-1435526459, msg='Some event for user 6 - You are nothing know!', date=Tue May 17 19:42:48 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=-1942240142, msg='Some event for user John Snow - You are nothing know!', date=Tue May 17 19:42:48 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=-683023558, msg='Some event for user 4 - You are nothing know!', date=Tue May 17 19:42:48 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=822351652, msg='Some event for user 3 - You are nothing know!', date=Tue May 17 19:54:45 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=-756766926, msg='Some event for user 6 - You are nothing know!', date=Tue May 17 19:54:45 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=-1171422586, msg='Some event for user John Snow - You are nothing know!', date=Tue May 17 19:54:45 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=1670887962, msg='Some event for user 4 - You are nothing know!', date=Tue May 17 19:54:45 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=847431243, msg='Some event for user 3 - You are nothing know!', date=Tue May 17 19:57:17 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=152861467, msg='Some event for user 6 - You are nothing know!', date=Tue May 17 19:57:18 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=-2003795856, msg='Some event for user John Snow - You are nothing know!', date=Tue May 17 19:57:17 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=778698531, msg='Some event for user 4 - You are nothing know!', date=Tue May 17 19:57:18 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=989617297, msg='Some event for user 3 - You are nothing know!', date=Tue May 17 20:01:18 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=-1356012310, msg='Some event for user 6 - You are nothing know!', date=Tue May 17 20:01:19 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=-73071298, msg='Some event for user John Snow - You are nothing know!', date=Tue May 17 20:01:18 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=-453356715, msg='Some event for user 4 - You are nothing know!', date=Tue May 17 20:01:18 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=830808836, msg='Some event for user 3 - You are nothing know!', date=Tue May 17 20:01:47 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=658929709, msg='Some event for user 6 - You are nothing know!', date=Tue May 17 20:01:48 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=537338383, msg='Some event for user John Snow - You are nothing know!', date=Tue May 17 20:01:47 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=-1420015632, msg='Some event for user 4 - You are nothing know!', date=Tue May 17 20:01:47 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=-504180191, msg='Some event for user 3 - You are nothing know!', date=Tue May 17 20:02:20 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=141070721, msg='Some event for user 6 - You are nothing know!', date=Tue May 17 20:02:20 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=-1223971800, msg='Some event for user John Snow - You are nothing know!', date=Tue May 17 20:02:20 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=1887109819, msg='Some event for user 4 - You are nothing know!', date=Tue May 17 20:02:20 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=-1410922204, msg='Some event for user 3 - You are nothing know!', date=Tue May 17 20:04:23 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=-1999396040, msg='Some event for user 6 - You are nothing know!', date=Tue May 17 20:04:23 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=-1452880881, msg='Some event for user John Snow - You are nothing know!', date=Tue May 17 20:04:23 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=1229597632, msg='Some event for user 4 - You are nothing know!', date=Tue May 17 20:04:23 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=-327616652, msg='Some event for user 3 - You are nothing know!', date=Tue May 17 20:05:40 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=1685146175, msg='Some event for user 6 - You are nothing know!', date=Tue May 17 20:05:41 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=-25227087, msg='Some event for user John Snow - You are nothing know!', date=Tue May 17 20:05:40 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=-79871891, msg='Some event for user 4 - You are nothing know!', date=Tue May 17 20:05:40 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=1988728811, msg='Some event for user 3 - You are nothing know!', date=Tue May 17 20:10:43 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=480717733, msg='Some event for user 6 - You are nothing know!', date=Tue May 17 20:10:44 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=1392181471, msg='Some event for user John Snow - You are nothing know!', date=Tue May 17 20:10:43 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=265110001, msg='Some event for user 4 - You are nothing know!', date=Tue May 17 20:10:44 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=-207460113, msg='Some event for user 3 - You are nothing know!', date=Tue May 17 20:11:07 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=-427908848, msg='Some event for user 6 - You are nothing know!', date=Tue May 17 20:11:10 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=-478860495, msg='Some event for user John Snow - You are nothing know!', date=Tue May 17 20:11:07 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=-867929254, msg='Some event for user 4 - You are nothing know!', date=Tue May 17 20:11:10 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
loggers.Event{id=1858007999, msg='Some event for user 3 - You are nothing know!', date=Tue May 17 20:12:37 IDT 2016, df=java.text.SimpleDateFormat@7945516e, df1='java.text.SimpleDateFormat@7945516e'}
